score,go-algorand struct,go-algorand-sdk struct,go-algorand location,go-algorand-sdk location
1.00,KeyregTxnFields,KeyregTxnFields,go-algorand/data/transactions/keyreg.go,go-algorand-sdk/types/transaction.go
1.00,LightBlockHeader,LightBlockHeader,go-algorand/data/bookkeeping/lightBlockHeader.go,go-algorand-sdk/types/lightBlockHeader.go
1.00,LightBlockHeaderProof,LightBlockHeaderProof,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/light_block_header_proof.go
1.00,LightBlockHeaderProof,LightBlockHeaderProof,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/light_block_header_proof.go
1.00,LogicSig,LogicSig,go-algorand/data/transactions/logicsig.go,go-algorand-sdk/types/signature.go
1.00,Message,Message,go-algorand/data/hashable/message.go,go-algorand-sdk/types/stateproof.go
1.00,Message,Message,go-algorand/agreement/abstractions.go,go-algorand-sdk/types/stateproof.go
1.00,Message,Message,go-algorand/data/stateproofmsg/message.go,go-algorand-sdk/types/stateproof.go
1.00,ModifiedCreatable,ModifiedCreatable,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,MultisigSig,MultisigSig,go-algorand/crypto/multisig.go,go-algorand-sdk/types/signature.go
1.00,MultisigSubsig,MultisigSubsig,go-algorand/crypto/multisig.go,go-algorand-sdk/types/signature.go
1.00,NodeStatusResponse,NodeStatusResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/node_status_response.go
1.00,NodeStatusResponse,NodeStatusResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/node_status_response.go
1.00,Participant,Participant,go-algorand/data/basics/stateProofParticipant.go,go-algorand-sdk/types/stateproof.go
1.00,ParticipationUpdates,ParticipationUpdates,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/client/v2/common/models/participation_updates.go
1.00,ParticipationUpdates,ParticipationUpdates,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,PaymentTxnFields,PaymentTxnFields,go-algorand/data/transactions/payment.go,go-algorand-sdk/types/transaction.go
1.00,PendingTransactionInformationParams,PendingTransactionInformationParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/algod/pendingTransactionInformation.go
1.00,PendingTransactionResponse,PendingTransactionResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/pending_transaction_response.go
1.00,PendingTransactionResponse,PendingTransactionResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/pending_transaction_response.go
1.00,PendingTransactions,PendingTransactions,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/algod/getPendingTransactions.go
1.00,PendingTransactionsResponse,PendingTransactionsResponse,go-algorand/daemon/algod/api/server/v1/handlers/responses.go,go-algorand-sdk/client/v2/common/models/pending_transactions_response.go
1.00,PendingTransactionsResponse,PendingTransactionsResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/pending_transactions_response.go
1.00,PendingTransactionsResponse,PendingTransactionsResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/pending_transactions_response.go
1.00,PostTransactionsResponse,PostTransactionsResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/post_transactions_response.go
1.00,PostTransactionsResponse,PostTransactionsResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/post_transactions_response.go
1.00,Proof,Proof,go-algorand/crypto/merklearray/proof.go,go-algorand-sdk/types/stateproof.go
1.00,Reveal,Reveal,go-algorand/crypto/stateproof/structs.go,go-algorand-sdk/types/stateproof.go
1.00,RewardsState,RewardsState,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,SignedTxn,SignedTxn,go-algorand/data/transactions/signedtxn.go,go-algorand-sdk/types/transaction.go
1.00,SignedTxnInBlock,SignedTxnInBlock,go-algorand/data/transactions/signedtxn.go,go-algorand-sdk/types/block.go
1.00,SignedTxnWithAD,SignedTxnWithAD,go-algorand/data/transactions/signedtxn.go,go-algorand-sdk/types/block.go
1.00,SingleLeafProof,SingleLeafProof,go-algorand/crypto/merklearray/proof.go,go-algorand-sdk/types/stateproof.go
